time,.data
1969/12/31/19:30:45.718000,EDGE_SE2 1845.715 1845.715 0.00520584031321134 0 -2.19356268734466e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.725000,EDGE_SE2 1845.723 1845.723 0.00320428427116032 0 -6.806367438201666e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.739000,EDGE_SE2 1845.735 1845.735 0.004803513249277585 0 -1.637668583183484e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.747000,EDGE_SE2 1845.744 1845.744 0.00360910027356634 0 -5.706191157292586e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.758000,EDGE_SE2 1845.757 1845.757 0.005210538216717159 0 -1.0203360644243033e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.764000,EDGE_SE2 1845.762 1845.762 0.001998795783060299 0 -1.81893282632712e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.778000,EDGE_SE2 1845.776 1845.776 0.005616066793766781 0 -5.964027941517464e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.785000,EDGE_SE2 1845.783 1845.783 0.0027988154955791416 0 -2.3261556817615274e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.795000,EDGE_SE2 1845.792 1845.792 0.003595472641053608 0 -6.13947488324256e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.810000,EDGE_SE2 1845.807 1845.807 0.006007835539295475 0 1.1524253031553269e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.820000,EDGE_SE2 1845.815 1845.815 0.003207532024426586 0 4.655674167375339e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.828000,EDGE_SE2 1845.826 1845.826 0.004400693969348195 0 4.76950594282295e-06 0.03 0.0 0.0 0.03 0.0 0.01
